,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
282,3,2,1,0,2,5,1,3,7420
283,3,2,4,0,0,5,1,3,7583
284,3,2,4,2,0,5,1,3,7845
285,3,2,2,2,5,5,1,3,8055
286,3,2,2,2,2,5,1,3,8370
287,3,2,0,2,2,5,1,3,8370
288,5,2,0,2,2,5,1,3,9525
289,5,2,0,0,0,5,1,3,9988
290,0,2,2,0,1,5,1,3,9840
291,1,2,0,0,0,5,1,3,9988
292,3,2,0,0,2,5,1,3,10523
293,5,2,1,0,5,5,1,3,11048
294,4,2,2,0,4,5,1,3,10759
295,1,2,2,0,5,5,1,3,10785
296,2,2,1,0,5,5,1,3,10863
297,3,2,5,0,4,5,1,3,10943
298,5,2,5,0,0,5,1,3,11415
299,5,2,2,0,0,5,1,3,11415
300,5,2,5,0,5,5,1,3,11415
301,3,2,2,0,5,5,1,3,11326
302,3,2,0,0,5,5,1,3,11326
303,1,2,2,0,0,5,1,3,11468
304,5,2,4,0,5,5,1,3,12098
305,5,2,4,0,4,5,1,3,12150
306,4,2,2,0,5,5,1,3,11809
307,3,2,0,0,2,5,1,3,11814
308,3,2,4,0,2,5,1,3,11814
309,1,2,5,0,0,5,1,3,11900
310,3,2,1,0,4,5,1,3,11993
311,4,2,0,0,2,5,1,3,12010
312,2,2,4,1,5,5,1,3,12045
313,2,2,2,0,4,5,1,3,12045
314,1,2,5,0,4,5,1,3,12150
315,1,2,5,0,5,5,1,3,12150
316,1,2,1,0,4,5,1,3,12150
317,2,2,2,0,5,5,1,3,12229
318,5,2,2,0,5,5,1,3,12623
319,1,2,0,0,0,5,1,3,12298
320,5,2,0,2,2,5,1,3,12780
321,1,2,1,0,5,5,1,3,12465
322,5,2,0,0,0,5,1,3,12885
323,3,2,2,0,5,5,1,3,12570
324,3,2,0,0,5,5,1,3,12570
325,0,2,2,0,1,5,1,3,12990
326,5,2,0,0,0,5,1,3,13410
327,2,2,4,0,0,5,1,3,13069
328,2,2,4,0,2,5,1,3,13069
329,1,2,4,0,0,5,1,3,13086
330,5,2,4,0,4,5,1,3,13515
331,4,2,1,0,4,5,1,3,13200
332,3,2,0,0,5,5,1,3,13279
333,1,2,1,0,0,5,1,3,13515
334,5,2,2,0,4,5,1,3,14040
335,5,2,2,0,5,5,1,3,14040
336,5,2,2,0,5,5,1,3,14040
337,3,2,1,0,0,5,1,3,13767
338,5,2,2,0,5,5,1,3,14565
339,5,2,2,0,4,5,1,3,14565
340,5,2,2,0,5,5,1,3,14565
341,5,2,1,0,4,5,1,3,14565
342,2,2,1,0,2,5,1,3,14235
343,1,2,2,0,0,5,1,3,14250
