,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
200488,3,1,2,0,3,4,1,7.67,28,4541
200489,3,1,0,0,3,4,1,9.67,28,4541
200490,4,1,4,0,2,4,1,11.58,28,4547
200491,4,1,4,0,4,4,1,24.17,28,4547
200492,0,1,4,0,0,4,1,3.75,28,4656
200493,1,1,1,0,2,4,1,13.0,28,4678
200494,1,1,4,0,5,4,1,12.42,28,4784
200495,1,1,5,0,4,4,1,12.67,28,4784
200496,1,1,2,0,4,4,1,16.0,28,4784
200497,1,1,5,0,2,4,1,22.83,28,4784
200498,1,1,4,0,4,4,1,23.08,28,4784
200499,1,1,5,0,5,4,1,26.0,28,4784
200500,1,1,2,0,2,4,1,26.17,28,4784
200501,0,1,4,2,0,4,1,2.33,28,4856
200502,3,1,0,2,2,4,1,2.33,28,4963
200503,3,1,2,0,3,4,1,6.75,28,5042
200504,3,1,5,0,1,4,1,6.75,28,5042
200505,3,1,2,0,3,4,1,7.08,28,5042
200506,3,1,0,0,5,4,1,7.67,28,5042
200507,3,1,2,0,3,4,1,7.67,28,5042
200508,3,1,4,0,2,4,1,8.08,28,5042
200509,3,1,2,0,3,4,1,8.25,28,5042
200510,3,1,2,0,3,4,1,8.25,28,5042
200511,3,1,4,0,2,4,1,8.5,28,5042
200512,3,1,4,0,2,4,1,9.33,28,5042
200513,3,1,5,0,1,4,1,9.33,28,5042
200514,3,1,2,0,1,4,1,9.5,28,5042
200515,3,1,4,0,5,4,1,9.75,28,5042
200516,3,1,5,0,4,4,1,9.75,28,5042
200517,3,1,3,1,4,4,1,7.67,28,5095
200518,3,1,3,1,4,4,1,8.0,28,5095
200519,1,1,1,0,0,4,1,8.33,28,5099
200520,1,1,1,0,5,4,1,16.17,28,5099
200521,1,1,1,0,4,4,1,26.83,28,5099
200522,1,1,0,0,0,4,1,21.25,28,5207
200523,1,1,1,0,0,4,1,29.83,28,5207
200524,1,1,5,0,0,4,1,18.17,28,5309
