airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
5,2,4,0,5,5,1,2,14513
5,2,4,0,5,5,1,2,14513
1,2,4,0,2,5,1,2,14250
2,2,2,0,4,5,1,2,14409
2,2,2,0,5,5,1,2,14487
5,2,0,0,5,5,1,2,14933
5,2,0,0,5,5,1,2,14933
5,2,0,0,5,5,1,2,15038
5,2,2,0,4,5,1,2,15353
5,2,2,0,4,5,1,2,15353
5,2,2,0,4,5,1,2,15353
5,2,2,0,5,5,1,2,15353
5,2,2,0,5,5,1,2,15353
2,2,4,0,2,5,1,2,15117
1,2,1,0,4,5,1,2,15195
3,2,1,0,0,5,1,2,15232
1,2,2,0,5,5,1,2,15510
3,2,4,0,0,5,1,2,15720
4,2,1,0,4,5,1,2,15720
3,2,0,0,5,5,1,2,15720
1,2,1,0,5,5,1,2,16035
5,2,0,0,5,5,1,2,16560
5,2,1,0,5,5,1,2,16560
2,2,1,0,0,5,1,2,16823
5,2,2,0,5,5,1,2,17348
5,2,2,0,5,5,1,2,17348
2,2,0,0,5,5,1,2,17136
1,2,5,0,5,5,1,2,18135
1,2,2,0,5,5,1,2,18135
5,2,0,0,2,5,1,2,19343
5,2,0,0,0,5,1,2,19553
5,2,1,0,0,5,1,2,19815
1,2,4,0,0,5,1,2,20445
1,2,0,0,0,5,1,2,21180
1,2,0,0,5,5,1,2,22335
2,2,4,0,2,5,1,2,23281
2,2,4,0,2,5,1,2,23281
5,2,4,0,0,5,1,2,24488
1,2,1,0,0,5,1,2,24855
5,2,0,0,5,5,1,2,25905
5,2,1,0,5,5,1,2,29160
1,2,4,0,2,5,1,2,29580
4,2,1,2,4,5,1,3,5953
4,2,1,2,4,5,1,3,5953
4,2,2,2,5,5,1,3,5953
5,2,4,2,4,5,1,3,5955
5,2,4,2,0,5,1,3,5955
5,2,4,2,4,5,1,3,5955
2,2,1,2,4,5,1,3,5954
2,2,2,2,5,5,1,3,5954
2,2,4,2,0,5,1,3,5954
2,2,2,2,5,5,1,3,5954
3,2,1,2,4,5,1,3,5955
3,2,4,2,0,5,1,3,5955
3,2,4,2,4,5,1,3,5955
3,2,4,2,4,5,1,3,5955
0,2,1,2,1,5,1,3,5956
1,2,1,2,4,5,1,3,5955
1,2,1,2,4,5,1,3,5955
1,2,2,2,5,5,1,3,5955
1,2,2,2,5,5,1,3,5955
2,2,2,0,1,5,1,3,5954
2,2,1,0,5,5,1,3,5954
1,2,2,0,5,5,1,3,5955
5,2,2,2,5,5,1,3,6375
4,2,2,2,5,5,1,3,6060
4,2,2,0,1,5,1,3,6270
5,2,2,2,5,5,1,3,6690
2,2,0,2,2,5,1,3,6532
2,2,5,2,5,5,1,3,6532
5,2,4,2,0,5,1,3,7005
1,2,2,2,2,5,1,3,6795
2,2,0,2,2,5,1,3,7110
3,2,1,0,2,5,1,3,7420
3,2,4,0,0,5,1,3,7583
3,2,4,2,0,5,1,3,7845
3,2,2,2,5,5,1,3,8055
3,2,2,2,2,5,1,3,8370
3,2,0,2,2,5,1,3,8370
5,2,0,2,2,5,1,3,9525
5,2,0,0,0,5,1,3,9988
0,2,2,0,1,5,1,3,9840
1,2,0,0,0,5,1,3,9988
3,2,0,0,2,5,1,3,10523
5,2,1,0,5,5,1,3,11048
4,2,2,0,4,5,1,3,10759
1,2,2,0,5,5,1,3,10785
2,2,1,0,5,5,1,3,10863
3,2,5,0,4,5,1,3,10943
5,2,5,0,0,5,1,3,11415
5,2,2,0,0,5,1,3,11415
5,2,5,0,5,5,1,3,11415
3,2,2,0,5,5,1,3,11326
3,2,0,0,5,5,1,3,11326
1,2,2,0,0,5,1,3,11468
5,2,4,0,5,5,1,3,12098
5,2,4,0,4,5,1,3,12150
4,2,2,0,5,5,1,3,11809
3,2,0,0,2,5,1,3,11814
3,2,4,0,2,5,1,3,11814
1,2,5,0,0,5,1,3,11900
3,2,1,0,4,5,1,3,11993
4,2,0,0,2,5,1,3,12010
2,2,4,1,5,5,1,3,12045
2,2,2,0,4,5,1,3,12045
1,2,5,0,4,5,1,3,12150
1,2,5,0,5,5,1,3,12150
1,2,1,0,4,5,1,3,12150
2,2,2,0,5,5,1,3,12229
5,2,2,0,5,5,1,3,12623
1,2,0,0,0,5,1,3,12298
5,2,0,2,2,5,1,3,12780
1,2,1,0,5,5,1,3,12465
5,2,0,0,0,5,1,3,12885
3,2,2,0,5,5,1,3,12570
3,2,0,0,5,5,1,3,12570
0,2,2,0,1,5,1,3,12990
5,2,0,0,0,5,1,3,13410
2,2,4,0,0,5,1,3,13069
2,2,4,0,2,5,1,3,13069
1,2,4,0,0,5,1,3,13086
5,2,4,0,4,5,1,3,13515
4,2,1,0,4,5,1,3,13200
3,2,0,0,5,5,1,3,13279
1,2,1,0,0,5,1,3,13515
5,2,2,0,4,5,1,3,14040
5,2,2,0,5,5,1,3,14040
5,2,2,0,5,5,1,3,14040
3,2,1,0,0,5,1,3,13767
5,2,2,0,5,5,1,3,14565
5,2,2,0,4,5,1,3,14565
5,2,2,0,5,5,1,3,14565
5,2,1,0,4,5,1,3,14565
2,2,1,0,2,5,1,3,14235
1,2,2,0,0,5,1,3,14250
5,2,0,0,5,5,1,3,14618
5,2,2,0,4,5,1,3,14775
5,2,2,0,5,5,1,3,14775
5,2,2,0,5,5,1,3,14775
3,2,0,0,5,5,1,3,14744
5,2,4,0,5,5,1,3,15353
5,2,4,0,4,5,1,3,15353
5,2,0,0,5,5,1,3,15405
1,2,5,0,0,5,1,3,15090
3,2,1,0,2,5,1,3,15232
3,2,5,0,4,5,1,3,15232
5,2,5,2,5,5,1,3,15720
5,2,2,2,5,5,1,3,15720
1,2,4,0,0,5,1,3,15405
3,2,5,2,5,5,1,3,15720
3,2,4,0,0,5,1,3,15720
3,2,4,0,2,5,1,3,15720
1,2,5,0,2,5,1,3,15825
1,2,2,0,2,5,1,3,15825
1,2,2,0,5,5,1,3,16245
5,2,2,0,0,5,1,3,16665
5,2,4,0,5,5,1,3,16718
2,2,1,0,0,5,1,3,16823
5,2,0,0,0,5,1,3,17190
2,2,4,0,2,5,1,3,16859
5,2,2,0,4,5,1,3,17243
5,2,4,0,5,5,1,3,17348
2,2,0,0,5,5,1,3,17136
1,2,1,0,0,5,1,3,17295
5,2,2,0,4,5,1,3,17978
5,2,0,0,4,5,1,3,18030
5,2,2,0,4,5,1,3,18135
1,2,1,0,5,5,1,3,18135
5,2,4,0,5,5,1,3,18713
5,2,0,0,5,5,1,3,19238
1,2,2,0,4,5,1,3,19605
1,2,0,0,4,5,1,3,19605
1,2,0,0,5,5,1,3,19920
5,2,0,0,5,5,1,3,21233
5,2,4,0,0,5,1,3,21285
2,2,4,0,2,5,1,3,21899
1,2,4,0,4,5,1,3,22755
5,2,0,0,5,5,1,3,23228
1,2,4,0,0,5,1,3,22965
1,2,4,0,5,5,1,3,23070
2,2,4,0,0,5,1,3,23491
1,2,2,0,0,5,1,3,24225
1,2,0,0,0,5,1,3,24225
1,2,2,0,5,5,1,3,24435
1,2,0,0,0,5,1,3,25223
1,2,2,0,5,5,1,3,26325
1,2,5,0,5,5,1,3,27165
1,2,4,0,2,5,1,3,29580
1,2,0,0,5,5,1,3,31260
4,2,2,2,5,5,1,4,5953
4,2,1,2,4,5,1,4,5953
4,2,1,2,4,5,1,4,5953
4,2,1,2,4,5,1,4,5953
4,2,2,2,5,5,1,4,5953
4,2,2,2,5,5,1,4,5953
5,2,0,2,2,5,1,4,5955
5,2,0,2,2,5,1,4,5955
5,2,2,2,5,5,1,4,5955
5,2,4,2,0,5,1,4,5955
5,2,2,2,5,5,1,4,5955
5,2,4,2,0,5,1,4,5955
5,2,2,2,5,5,1,4,5955
5,2,4,2,4,5,1,4,6060
5,2,5,2,5,5,1,4,6060
2,2,0,2,2,5,1,4,5954
2,2,0,2,2,5,1,4,5954
2,2,2,2,5,5,1,4,5954
2,2,5,2,5,5,1,4,5954
2,2,4,2,0,5,1,4,5954
2,2,2,2,5,5,1,4,5954
3,2,1,2,4,5,1,4,5955
3,2,4,2,0,5,1,4,5955
3,2,2,2,2,5,1,4,5955
3,2,2,2,5,5,1,4,5955
4,2,1,2,4,5,1,4,5955
3,2,4,2,0,5,1,4,5955
3,2,0,2,2,5,1,4,5955
3,2,5,2,5,5,1,4,5955
3,2,4,2,4,5,1,4,5955
3,2,4,2,4,5,1,4,5955
1,2,2,2,2,5,1,4,5955
1,2,1,2,4,5,1,4,5955
1,2,1,2,4,5,1,4,5955
1,2,2,2,5,5,1,4,5955
1,2,4,2,4,5,1,4,5955
1,2,2,2,5,5,1,4,5955
0,2,2,0,1,5,1,4,5949
2,2,0,0,2,5,1,4,5954
2,2,4,0,2,5,1,4,5954
2,2,0,0,5,5,1,4,5954
2,2,1,0,2,5,1,4,5954
2,2,2,0,1,5,1,4,5954
2,2,2,0,4,5,1,4,5954
2,2,1,0,5,5,1,4,5954
1,2,2,0,5,5,1,4,5955
4,2,2,0,5,5,1,4,5955
3,2,1,0,2,5,1,4,5955
3,2,0,0,5,5,1,4,5955
3,2,5,0,4,5,1,4,5955
4,2,2,0,4,5,1,4,5955
4,2,0,0,2,5,1,4,5955
0,2,1,2,1,5,1,4,6139
3,2,1,2,4,5,1,4,6165
4,2,2,0,1,5,1,4,6270
5,2,4,2,4,5,1,4,6690
3,2,2,0,5,5,1,4,6443
2,2,1,2,4,5,1,4,6532
3,2,5,0,4,5,1,4,6932
3,2,0,0,2,5,1,4,7420
3,2,4,0,2,5,1,4,7420
3,2,0,0,5,5,1,4,7420
1,2,1,0,5,5,1,4,8413
5,2,2,0,4,5,1,4,9000
5,2,0,0,4,5,1,4,9000
1,2,2,0,0,5,1,4,8790
1,2,0,0,0,5,1,4,8790
2,2,1,0,5,5,1,4,8869
3,2,0,0,5,5,1,4,8885
1,2,1,0,5,5,1,4,9000
1,2,1,0,5,5,1,4,9000
2,2,2,0,5,5,1,4,9447
5,2,0,0,5,5,1,4,9840
5,2,4,0,5,5,1,4,9840
5,2,5,0,4,5,1,4,9840
5,2,5,0,0,5,1,4,9840
5,2,0,0,4,5,1,4,9840
5,2,4,0,4,5,1,4,9840
5,2,0,0,0,5,1,4,9840
5,2,5,0,5,5,1,4,9840
1,2,1,0,0,5,1,4,9525
3,2,0,0,2,5,1,4,9788
1,2,2,0,2,5,1,4,9905
1,2,0,0,0,5,1,4,9988
5,2,2,0,5,5,1,4,10575
5,2,2,0,5,5,1,4,10575
5,2,0,0,5,5,1,4,10575
5,2,2,0,4,5,1,4,10575
5,2,2,0,0,5,1,4,10575
1,2,2,0,5,5,1,4,10260
3,2,2,0,5,5,1,4,10349
3,2,4,0,0,5,1,4,10523
2,2,4,0,2,5,1,4,10549
2,2,1,0,0,5,1,4,10575
1,2,2,0,2,5,1,4,10680
5,2,2,0,0,5,1,4,11205
5,2,0,0,0,5,1,4,11573
5,2,4,0,0,5,1,4,11625
2,2,1,1,2,5,1,4,11295
2,2,4,0,2,5,1,4,11609
5,2,0,0,2,5,1,4,12150
5,2,2,0,5,5,1,4,12150
5,2,0,0,5,5,1,4,12150
5,2,0,0,5,5,1,4,12150
5,2,4,0,5,5,1,4,12150
5,2,4,0,5,5,1,4,12150
5,2,2,0,4,5,1,4,12150
5,2,4,0,5,5,1,4,12150
5,2,4,0,5,5,1,4,12150
5,2,2,0,4,5,1,4,12150
5,2,2,0,4,5,1,4,12150
5,2,2,0,4,5,1,4,12150
5,2,2,0,4,5,1,4,12150
1,2,1,0,0,5,1,4,11900
1,2,0,0,5,5,1,4,12150
1,2,4,0,5,5,1,4,12150
1,2,5,0,4,5,1,4,12150
1,2,1,0,5,5,1,4,12150
1,2,2,0,4,5,1,4,12150
1,2,0,0,4,5,1,4,12150
1,2,4,0,4,5,1,4,12150
1,2,1,0,4,5,1,4,12150
4,2,0,0,0,5,1,4,12228
1,2,1,0,0,5,1,4,12298
3,2,1,0,0,5,1,4,12302
1,2,0,0,2,5,1,4,12360
3,2,1,0,4,5,1,4,12518
5,2,0,0,5,5,1,4,12990
5,2,2,0,4,5,1,4,12990
5,2,2,0,4,5,1,4,12990
5,2,2,0,0,5,1,4,12990
5,2,2,0,0,5,1,4,12990
1,2,5,0,4,5,1,4,12990
1,2,2,0,4,5,1,4,12990
1,2,5,0,0,5,1,4,12990
1,2,2,0,0,5,1,4,12990
